tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2020-11-01,DKI1 (Bunderan HI),,49.0,67.0,18.0,10.0,40.0,11.0,PM25,SEDANG
2020-11-02,DKI1 (Bunderan HI),,23.0,27.0,15.0,3.0,32.0,5.0,O3,BAIK
2020-11-03,DKI1 (Bunderan HI),,43.0,64.0,19.0,6.0,53.0,10.0,PM25,SEDANG
2020-11-04,DKI1 (Bunderan HI),,42.0,62.0,20.0,5.0,59.0,12.0,PM25,SEDANG
2020-11-05,DKI1 (Bunderan HI),,51.0,70.0,17.0,11.0,50.0,19.0,PM25,SEDANG
2020-11-06,DKI1 (Bunderan HI),,79.0,106.0,23.0,13.0,49.0,20.0,PM25,TIDAK SEHAT
2020-11-07,DKI1 (Bunderan HI),,61.0,85.0,19.0,14.0,45.0,25.0,PM25,SEDANG
2020-11-08,DKI1 (Bunderan HI),,60.0,85.0,16.0,17.0,57.0,14.0,PM25,SEDANG
2020-11-09,DKI1 (Bunderan HI),,62.0,95.0,20.0,13.0,57.0,18.0,PM25,SEDANG
2020-11-10,DKI1 (Bunderan HI),,62.0,92.0,18.0,8.0,53.0,16.0,PM25,SEDANG
2020-11-11,DKI1 (Bunderan HI),,61.0,97.0,20.0,10.0,62.0,20.0,PM25,SEDANG
2020-11-12,DKI1 (Bunderan HI),,53.0,80.0,20.0,6.0,49.0,23.0,PM25,SEDANG
2020-11-13,DKI1 (Bunderan HI),,53.0,68.0,20.0,5.0,34.0,14.0,PM25,SEDANG
2020-11-14,DKI1 (Bunderan HI),,54.0,78.0,20.0,7.0,79.0,12.0,O3,SEDANG
2020-11-15,DKI1 (Bunderan HI),,52.0,73.0,21.0,6.0,41.0,12.0,PM25,SEDANG
2020-11-16,DKI1 (Bunderan HI),,51.0,70.0,20.0,5.0,42.0,11.0,PM25,SEDANG
2020-11-17,DKI1 (Bunderan HI),,57.0,84.0,18.0,7.0,60.0,13.0,PM25,SEDANG
2020-11-18,DKI1 (Bunderan HI),,57.0,79.0,18.0,9.0,71.0,20.0,PM25,SEDANG
2020-11-19,DKI1 (Bunderan HI),,58.0,84.0,18.0,13.0,64.0,20.0,PM25,SEDANG
2020-11-20,DKI1 (Bunderan HI),,53.0,68.0,20.0,5.0,34.0,10.0,PM25,SEDANG
2020-11-21,DKI1 (Bunderan HI),,54.0,82.0,18.0,15.0,48.0,13.0,PM25,SEDANG
2020-11-22,DKI1 (Bunderan HI),,51.0,69.0,18.0,15.0,45.0,14.0,PM25,SEDANG
2020-11-23,DKI1 (Bunderan HI),,62.0,93.0,20.0,11.0,51.0,17.0,PM25,SEDANG
2020-11-24,DKI1 (Bunderan HI),,44.0,56.0,19.0,8.0,53.0,13.0,PM25,SEDANG
2020-11-25,DKI1 (Bunderan HI),,39.0,63.0,19.0,8.0,48.0,14.0,PM25,SEDANG
2020-11-26,DKI1 (Bunderan HI),,47.0,69.0,21.0,9.0,55.0,14.0,PM25,SEDANG
2020-11-27,DKI1 (Bunderan HI),,44.0,59.0,20.0,8.0,41.0,17.0,PM25,SEDANG
2020-11-28,DKI1 (Bunderan HI),,46.0,66.0,18.0,7.0,65.0,14.0,PM25,SEDANG
2020-11-29,DKI1 (Bunderan HI),,37.0,56.0,17.0,7.0,24.0,9.0,PM25,SEDANG
2020-11-30,DKI1 (Bunderan HI),,18.0,21.0,16.0,4.0,27.0,5.0,O3,BAIK
2020-12-01,DKI1 (Bunderan HI),,22.0,17.0,4.0,19.0,8.0,26.0,PM25,BAIK
2020-12-02,DKI1 (Bunderan HI),,25.0,18.0,4.0,28.0,7.0,48.0,PM25,BAIK
2020-12-03,DKI1 (Bunderan HI),,29.0,19.0,8.0,48.0,14.0,48.0,O3,BAIK
2020-12-04,DKI1 (Bunderan HI),,39.0,29.0,8.0,52.0,17.0,58.0,PM25,SEDANG
2020-12-05,DKI1 (Bunderan HI),,28.0,22.0,7.0,34.0,11.0,34.0,O3,BAIK
2020-12-06,DKI1 (Bunderan HI),,31.0,22.0,7.0,30.0,9.0,50.0,PM25,BAIK
2020-12-07,DKI1 (Bunderan HI),,25.0,22.0,6.0,18.0,9.0,31.0,PM25,BAIK
2020-12-08,DKI1 (Bunderan HI),,36.0,31.0,8.0,23.0,8.0,52.0,PM25,SEDANG
2020-12-09,DKI1 (Bunderan HI),,32.0,22.0,5.0,25.0,8.0,46.0,PM25,BAIK
2020-12-10,DKI1 (Bunderan HI),,32.0,30.0,4.0,25.0,7.0,48.0,PM25,BAIK
2020-12-11,DKI1 (Bunderan HI),,32.0,24.0,9.0,21.0,12.0,49.0,PM25,BAIK
2020-12-12,DKI1 (Bunderan HI),,23.0,19.0,6.0,29.0,10.0,33.0,PM25,BAIK
2020-12-13,DKI1 (Bunderan HI),,29.0,20.0,5.0,29.0,6.0,41.0,PM25,BAIK
2020-12-14,DKI1 (Bunderan HI),,25.0,18.0,4.0,29.0,9.0,32.0,PM25,BAIK
2020-12-15,DKI1 (Bunderan HI),,26.0,18.0,6.0,24.0,8.0,34.0,PM25,BAIK
2020-12-16,DKI1 (Bunderan HI),,21.0,17.0,5.0,19.0,7.0,35.0,PM25,BAIK
2020-12-17,DKI1 (Bunderan HI),,24.0,21.0,5.0,30.0,7.0,37.0,PM25,BAIK
2020-12-18,DKI1 (Bunderan HI),,25.0,19.0,5.0,25.0,8.0,34.0,PM25,BAIK
2020-12-19,DKI1 (Bunderan HI),,27.0,19.0,6.0,24.0,9.0,49.0,PM25,BAIK
2020-12-20,DKI1 (Bunderan HI),,37.0,20.0,9.0,19.0,8.0,49.0,PM25,BAIK
2020-12-21,DKI1 (Bunderan HI),,17.0,17.0,4.0,14.0,5.0,20.0,PM25,BAIK
2020-12-22,DKI1 (Bunderan HI),,23.0,19.0,6.0,16.0,10.0,39.0,PM25,BAIK
2020-12-23,DKI1 (Bunderan HI),,43.0,26.0,,26.0,13.0,62.0,PM25,SEDANG
2020-12-24,DKI1 (Bunderan HI),,40.0,26.0,8.0,31.0,8.0,62.0,PM25,SEDANG
2020-12-25,DKI1 (Bunderan HI),,23.0,23.0,4.0,25.0,5.0,38.0,PM25,BAIK
2020-12-26,DKI1 (Bunderan HI),,23.0,26.0,3.0,30.0,6.0,35.0,PM25,BAIK
2020-12-27,DKI1 (Bunderan HI),,24.0,26.0,5.0,35.0,5.0,44.0,PM25,BAIK
2020-12-28,DKI1 (Bunderan HI),,26.0,27.0,4.0,33.0,8.0,44.0,PM25,BAIK
